Location of help or hover text,Plain Text,Text with HTML tag
result.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
result.sub_elements.document_link.hover_text,"A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document.","A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document."
result.sub_elements.document_link.help_text,,
result.sub_elements.document_link.attributes.url.hover_text,A link to where the document is available online - e.g. 'http://www.example.org/doc.odt',A link to where the document is available online - e.g. 'http://www.example.org/doc.odt'
result.sub_elements.document_link.attributes.url.help_text,,
result.sub_elements.document_link.attributes.format.hover_text,"Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'.","Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'."
result.sub_elements.document_link.attributes.format.help_text,,
result.sub_elements.document_link.sub_elements.title.hover_text,A short title for the document.,A short title for the document.
result.sub_elements.document_link.sub_elements.title.sub_elements.narrative.hover_text,Provide a short title for the document or webpage.,Provide a short title for the document or webpage.
result.sub_elements.document_link.sub_elements.title.sub_elements.narrative.help_text,,
result.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
result.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
result.sub_elements.document_link.sub_elements.category.hover_text,A category that describes the type of document. You can select multiple categories.,A category that describes the type of document. You can select multiple categories.
result.sub_elements.document_link.sub_elements.category.help_text,,
result.sub_elements.document_link.sub_elements.category.attributes.code.hover_text,Select a category from the drop-down menu that describes what your document is.,Select a category from the drop-down menu that describes what your document is.
result.sub_elements.document_link.sub_elements.category.attributes.code.help_text,,
result.sub_elements.document_link.sub_elements.description.hover_text,"A description of the document contents, or guidance on where to access relevant information.","A description of the document contents, or guidance on where to access relevant information."
result.sub_elements.document_link.sub_elements.description.sub_elements.narrative.hover_text,"Provide a short description of the document or webpage, including any instructions on where to find relevant information.","Provide a short description of the document or webpage, including any instructions on where to find relevant information."
result.sub_elements.document_link.sub_elements.description.sub_elements.narrative.help_text,,
result.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
result.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
result.sub_elements.document_link.sub_elements.language.attributes.language.hover_text,Select the language that the document is written in. This can be repeated to describe multilingual documents.,Select the language that the document is written in. This can be repeated to describe multilingual documents.
result.sub_elements.document_link.sub_elements.language.attributes.language.help_text,,
result.sub_elements.document_link.sub_elements.document_date.hover_text,The publication date of the document or webpage.,The publication date of the document or webpage.
result.sub_elements.document_link.sub_elements.document_date.attributes.date.hover_text,"Provide the date of publication for the document, or the date that it was last updated.","Provide the date of publication for the document, or the date that it was last updated."
result.sub_elements.document_link.sub_elements.document_date.attributes.date.help_text,,
result.sub_elements.reference.hover_text,"If this result is part of a results framework, you can either provide a reference to it here, or provide a reference for each indicator that measures this result. You cannot provide a reference at both the result and indicator level. Click here for more information","If this result is part of a results framework, you can either provide a reference to it here, or provide a reference for each indicator that measures this result. You cannot provide a reference at both the result and indicator level. <br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/result/reference/'>Click here for more information</a>"
result.sub_elements.reference.help_text,,
result.sub_elements.reference.attributes.vocabulary.hover_text,,
result.sub_elements.reference.attributes.vocabulary.help_text,,
result.sub_elements.reference.attributes.code.hover_text,Enter a code that identifies the results framework.,Enter a code that identifies the results framework.
result.sub_elements.reference.attributes.code.help_text,,
result.sub_elements.reference.attributes.vocabulary_uri.hover_text,Enter a public link to the results framework.,Enter a public link to the results framework.
result.sub_elements.reference.attributes.vocabulary_uri.help_text,,
indicator.hover_text,An indicator is used to measure progress against the result. Each result must have at least one indiciator. Click here for more information,An indicator is used to measure progress against the result. Each result must have at least one indiciator. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/results/'>Click here for more information</a>
indicator.help_text,,
indicator.attributes.measure.hover_text,Select the unit of measurement for the indicator.,Select the unit of measurement for the indicator.
indicator.attributes.measure.help_text,,
indicator.attributes.ascending.hover_text,"If your indicator is a numerical (quantitative) measure, select 'true' if a high number shows improvement and 'false' if the opposite.","If your indicator is a numerical (quantitative) measure, select 'true' if a high number shows improvement and 'false' if the opposite."
indicator.attributes.ascending.help_text,,
indicator.attributes.aggregation_status.hover_text,Select 'true' if the results data that you provide is suitable for aggregation. This means that a data user can add it up to get to the total.,Select 'true' if the results data that you provide is suitable for aggregation. This means that a data user can add it up to get to the total.
indicator.attributes.aggregation_status.help_text,,
indicator.sub_elements.title.hover_text,A short title for the indicator.,A short title for the indicator.
indicator.sub_elements.title.sub_elements.narrative.hover_text,"Provide a title or brief description of the indicator. An example is “The percentage of journalists who feel free to express their opinion (scoring 3 or 4 with a scale of 1 - 4)"".","Provide a title or brief description of the indicator. An example is “The percentage of journalists who feel free to express their opinion (scoring 3 or 4 with a scale of 1 - 4)""."
indicator.sub_elements.title.sub_elements.narrative.help_text,,
indicator.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.description.hover_text,A longer description of the indicator.,A longer description of the indicator.
indicator.sub_elements.description.sub_elements.narrative.hover_text,You can provide a description or additional information to help explain what is being measured by this indicator and how.,You can provide a description or additional information to help explain what is being measured by this indicator and how.
indicator.sub_elements.description.sub_elements.narrative.help_text,,
indicator.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.document_link.hover_text,"A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document.","A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document."
indicator.sub_elements.document_link.help_text,,
indicator.sub_elements.document_link.attributes.url.hover_text,A link to where the document is available online - e.g. 'http://www.example.org/doc.odt',A link to where the document is available online - e.g. 'http://www.example.org/doc.odt'
indicator.sub_elements.document_link.attributes.url.help_text,,
indicator.sub_elements.document_link.attributes.format.hover_text,"Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'.","Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'."
indicator.sub_elements.document_link.attributes.format.help_text,,
indicator.sub_elements.document_link.sub_elements.title.hover_text,A short title for the document.,A short title for the document.
indicator.sub_elements.document_link.sub_elements.title.sub_elements.narrative.hover_text,Provide a short title for the document or webpage.,Provide a short title for the document or webpage.
indicator.sub_elements.document_link.sub_elements.title.sub_elements.narrative.help_text,,
indicator.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.document_link.sub_elements.category.hover_text,A category that describes the type of document. You can select multiple categories.,A category that describes the type of document. You can select multiple categories.
indicator.sub_elements.document_link.sub_elements.category.help_text,,
indicator.sub_elements.document_link.sub_elements.category.attributes.code.hover_text,Select a category from the drop-down menu that describes what your document is.,Select a category from the drop-down menu that describes what your document is.
indicator.sub_elements.document_link.sub_elements.category.attributes.code.help_text,,
indicator.sub_elements.document_link.sub_elements.description.hover_text,"A description of the document contents, or guidance on where to access relevant information.","A description of the document contents, or guidance on where to access relevant information."
indicator.sub_elements.document_link.sub_elements.description.sub_elements.narrative.hover_text,"Provide a short description of the document or webpage, including any instructions on where to find relevant information.","Provide a short description of the document or webpage, including any instructions on where to find relevant information."
indicator.sub_elements.document_link.sub_elements.description.sub_elements.narrative.help_text,,
indicator.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.document_link.sub_elements.language.attributes.language.hover_text,Select the language that the document is written in. This can be repeated to describe multilingual documents.,Select the language that the document is written in. This can be repeated to describe multilingual documents.
indicator.sub_elements.document_link.sub_elements.language.attributes.language.help_text,,
indicator.sub_elements.document_link.sub_elements.document_date.hover_text,The publication date of the document or webpage.,The publication date of the document or webpage.
indicator.sub_elements.document_link.sub_elements.document_date.attributes.date.hover_text,"Provide the date of publication for the document, or the date that it was last updated.","Provide the date of publication for the document, or the date that it was last updated."
indicator.sub_elements.document_link.sub_elements.document_date.attributes.date.help_text,,
indicator.sub_elements.reference.hover_text,"If this indicator is part of a results framework, you can provide a reference to it here. Note that you cannot provide a results framework reference at both the result and indicator level. Click here for more information","If this indicator is part of a results framework, you can provide a reference to it here. Note that you cannot provide a results framework reference at both the result and indicator level. <br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/result/indicator/reference/'>Click here for more information</a>"
indicator.sub_elements.reference.help_text,,
indicator.sub_elements.reference.attributes.vocabulary.hover_text,"Select the results framework that your indicator is included in. If the results framework is not listed, select ‘99 - Reporting Organisation’.","Select the results framework that your indicator is included in. If the results framework is not listed, select ‘99 - Reporting Organisation’."
indicator.sub_elements.reference.attributes.vocabulary.help_text,,
indicator.sub_elements.reference.attributes.code.hover_text,"If you selected a results framework, provide the code for the indicator as specified in this framework.","If you selected a results framework, provide the code for the indicator as specified in this framework."
indicator.sub_elements.reference.attributes.code.help_text,,
indicator.sub_elements.reference.attributes.indicator_uri.hover_text,"If you selected '99 - Reporting Organisation', it is recommended that you include a link to the results framework here. This helps data users to understand the meaning of the codes used.","If you selected '99 - Reporting Organisation', it is recommended that you include a link to the results framework here. This helps data users to understand the meaning of the codes used."
indicator.sub_elements.reference.attributes.indicator_uri.help_text,,
indicator.sub_elements.baseline.hover_text,The starting value for the indicator. Click here for more guidance on results,The starting value for the indicator. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/results/'>Click here for more guidance on results</a>
indicator.sub_elements.baseline.help_text,,
indicator.sub_elements.baseline.attributes.year.hover_text,Provide the year when the indicator’s baseline was measured.,Provide the year when the indicator’s baseline was measured.
indicator.sub_elements.baseline.attributes.year.help_text,,
indicator.sub_elements.baseline.attributes.date.hover_text,Provide the date when the indicator’s baseline was measured.,Provide the date when the indicator’s baseline was measured.
indicator.sub_elements.baseline.attributes.date.help_text,,
indicator.sub_elements.baseline.attributes.value.hover_text,"Provide the indicator's baseline value. Do not include the unit of measure (eg. ""%"") as this is specified separately in the 'measure' field. If the indicator is qualitative, leave this value blank and add your baseline in the 'comment' field below instead.","Provide the indicator's baseline value. Do not include the unit of measure (eg. ""%"") as this is specified separately in the 'measure' field. If the indicator is qualitative, leave this value blank and add your baseline in the 'comment' field below instead."
indicator.sub_elements.baseline.attributes.value.help_text,,
indicator.sub_elements.baseline.sub_elements.comment.hover_text,"If the indicator is a qualitative measure, provide a descriptive baseline here. If the indicator is quantitative, you can add other information here such as how the baseline is measured.","If the indicator is a qualitative measure, provide a descriptive baseline here. If the indicator is quantitative, you can add other information here such as how the baseline is measured."
indicator.sub_elements.baseline.sub_elements.comment.sub_elements.narrative.hover_text,,
indicator.sub_elements.baseline.sub_elements.comment.sub_elements.narrative.help_text,,
indicator.sub_elements.baseline.sub_elements.comment.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.baseline.sub_elements.comment.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.baseline.sub_elements.dimension.hover_text,"A category used for disaggregating the result, for example by gender or age. Multiple disaggregations can be added.","A category used for disaggregating the result, for example by gender or age. Multiple disaggregations can be added."
indicator.sub_elements.baseline.sub_elements.dimension.help_text,,
indicator.sub_elements.baseline.sub_elements.dimension.attributes.name.hover_text,"Enter a description of the category being disaggregated. For example, an activity could declare the dimension’s name as ‘sex’, with a value of ‘female’.","Enter a description of the category being disaggregated. For example, an activity could declare the dimension’s name as ‘sex’, with a value of ‘female’."
indicator.sub_elements.baseline.sub_elements.dimension.attributes.name.help_text,,
indicator.sub_elements.baseline.sub_elements.dimension.attributes.value.hover_text,Specify a disaggregated value for this category.,Specify a disaggregated value for this category.
indicator.sub_elements.baseline.sub_elements.dimension.attributes.value.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.hover_text,"A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document.","A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document."
indicator.sub_elements.baseline.sub_elements.document_link.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.attributes.url.hover_text,A link to where the document is available online - e.g. 'http://www.example.org/doc.odt',A link to where the document is available online - e.g. 'http://www.example.org/doc.odt'
indicator.sub_elements.baseline.sub_elements.document_link.attributes.url.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.attributes.format.hover_text,"Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'.","Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'."
indicator.sub_elements.baseline.sub_elements.document_link.attributes.format.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.title.hover_text,A short title for the document.,A short title for the document.
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.title.sub_elements.narrative.hover_text,Provide a short title for the document or webpage.,Provide a short title for the document or webpage.
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.title.sub_elements.narrative.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.category.hover_text,A category that describes the type of document. You can select multiple categories.,A category that describes the type of document. You can select multiple categories.
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.category.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.category.attributes.code.hover_text,Select a category from the drop-down menu that describes what your document is.,Select a category from the drop-down menu that describes what your document is.
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.category.attributes.code.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.description.hover_text,"A description of the document contents, or guidance on where to access relevant information.","A description of the document contents, or guidance on where to access relevant information."
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.description.sub_elements.narrative.hover_text,"Provide a short description of the document or webpage, including any instructions on where to find relevant information.","Provide a short description of the document or webpage, including any instructions on where to find relevant information."
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.description.sub_elements.narrative.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.language.attributes.language.hover_text,Select the language that the document is written in. This can be repeated to describe multilingual documents.,Select the language that the document is written in. This can be repeated to describe multilingual documents.
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.language.attributes.language.help_text,,
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.document_date.hover_text,The publication date of the document or webpage.,The publication date of the document or webpage.
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.document_date.attributes.date.hover_text,"Provide the date of publication for the document, or the date that it was last updated.","Provide the date of publication for the document, or the date that it was last updated."
indicator.sub_elements.baseline.sub_elements.document_link.sub_elements.document_date.attributes.date.help_text,,
indicator.sub_elements.baseline.sub_elements.location.hover_text,A location already defined and described at the activity level. Click here for more information,A location already defined and described at the activity level. <br><br><a target='_blank' href='https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/result/indicator/baseline/location/'>Click here for more information</a>
indicator.sub_elements.baseline.sub_elements.location.attributes.reference.hover_text,A cross-reference to a location specified in 'iati-activity/location/@ref',A cross-reference to a location specified in 'iati-activity/location/@ref'
indicator.sub_elements.baseline.sub_elements.location.attributes.reference.help_text,,
period.hover_text,"The time period over which an indicator is being measured, such as a year or a school term. Multiple periods can be reported for a single indicator. Click here for more information","The time period over which an indicator is being measured, such as a year or a school term. Multiple periods can be reported for a single indicator. Click here for more information"
period.help_text,,
period.sub_elements.period_start.hover_text,The start date of the reporting period.,The start date of the reporting period.
period.sub_elements.period_start.attributes.date.hover_text,,
period.sub_elements.period_start.attributes.date.help_text,,
period.sub_elements.period_end.hover_text,The end date of the reporting period.,The end date of the reporting period.
period.sub_elements.period_end.attributes.date.hover_text,,
period.sub_elements.period_end.attributes.date.help_text,,
period.sub_elements.target.hover_text,The target indicator value for this period.,The target indicator value for this period.
period.sub_elements.target.help_text,,
period.sub_elements.target.attributes.value.hover_text,"Add a target value if your indicator is a numerical (quantitative) measure, such as a percentage. Leave this blank if the indicator is a qualitative measure.","Add a target value if your indicator is a numerical (quantitative) measure, such as a percentage. Leave this blank if the indicator is a qualitative measure."
period.sub_elements.target.attributes.value.help_text,,
period.sub_elements.target.sub_elements.comment.hover_text,"If the indicator is a qualitative measure, provide a description of the target result. You may also add other descriptive information for quantitative results here.","If the indicator is a qualitative measure, provide a description of the target result. You may also add other descriptive information for quantitative results here."
period.sub_elements.target.sub_elements.comment.help_text,,
period.sub_elements.target.sub_elements.comment.sub_elements.narrative.hover_text,,
period.sub_elements.target.sub_elements.comment.sub_elements.narrative.help_text,,
period.sub_elements.target.sub_elements.comment.sub_elements.narrative.attributes.language.hover_text,,
period.sub_elements.target.sub_elements.comment.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
period.sub_elements.target.sub_elements.dimension.attributes.name.hover_text,"Enter a description of the category being disaggregated. For example, an activity could declare the dimension’s name as ‘sex’, with a value of ‘female’.","Enter a description of the category being disaggregated. For example, an activity could declare the dimension’s name as ‘sex’, with a value of ‘female’."
period.sub_elements.target.sub_elements.dimension.attributes.name.help_text,,
period.sub_elements.target.sub_elements.dimension.attributes.value.hover_text,Specify a disaggregated value for this category.,Specify a disaggregated value for this category.
period.sub_elements.target.sub_elements.dimension.attributes.value.help_text,,
period.sub_elements.target.sub_elements.document_link.hover_text,"A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document.","A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document."
period.sub_elements.target.sub_elements.document_link.help_text,,
period.sub_elements.target.sub_elements.document_link.attributes.url.hover_text,A link to where the document is available online - e.g. 'http://www.example.org/doc.odt',A link to where the document is available online - e.g. 'http://www.example.org/doc.odt'
period.sub_elements.target.sub_elements.document_link.attributes.url.help_text,,
period.sub_elements.target.sub_elements.document_link.attributes.format.hover_text,"Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'.","Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'."
period.sub_elements.target.sub_elements.document_link.attributes.format.help_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.title.hover_text,A short title for the document.,A short title for the document.
period.sub_elements.target.sub_elements.document_link.sub_elements.title.sub_elements.narrative.hover_text,Provide a short title for the document or webpage.,Provide a short title for the document or webpage.
period.sub_elements.target.sub_elements.document_link.sub_elements.title.sub_elements.narrative.help_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
period.sub_elements.target.sub_elements.document_link.sub_elements.category.hover_text,A category that describes the type of document. You can select multiple categories.,A category that describes the type of document. You can select multiple categories.
period.sub_elements.target.sub_elements.document_link.sub_elements.category.help_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.category.attributes.code.hover_text,Select a category from the drop-down menu that describes what your document is.,Select a category from the drop-down menu that describes what your document is.
period.sub_elements.target.sub_elements.document_link.sub_elements.category.attributes.code.help_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.description.hover_text,"A description of the document contents, or guidance on where to access relevant information.","A description of the document contents, or guidance on where to access relevant information."
period.sub_elements.target.sub_elements.document_link.sub_elements.description.sub_elements.narrative.hover_text,"Provide a short description of the document or webpage, including any instructions on where to find relevant information.","Provide a short description of the document or webpage, including any instructions on where to find relevant information."
period.sub_elements.target.sub_elements.document_link.sub_elements.description.sub_elements.narrative.help_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
period.sub_elements.target.sub_elements.document_link.sub_elements.language.hover_text,Select the language that the document is written in. This can be repeated to describe multilingual documents.,Select the language that the document is written in. This can be repeated to describe multilingual documents.
period.sub_elements.target.sub_elements.document_link.sub_elements.language.attributes.language.hover_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.language.attributes.language.help_text,,
period.sub_elements.target.sub_elements.document_link.sub_elements.document_date.hover_text,The publication date of the document or webpage.,The publication date of the document or webpage.
period.sub_elements.target.sub_elements.document_link.sub_elements.document_date.attributes.date.hover_text,"Provide the date of publication for the document, or the date that it was last updated.","Provide the date of publication for the document, or the date that it was last updated."
period.sub_elements.target.sub_elements.document_link.sub_elements.document_date.attributes.date.help_text,,
period.sub_elements.target.sub_elements.location.attributes.reference.hover_text,A cross-reference to a location specified in 'iati-activity/location/@ref',A cross-reference to a location specified in 'iati-activity/location/@ref'
period.sub_elements.target.sub_elements.location.attributes.reference.help_text,,
period.sub_elements.actual.hover_text,The achieved indicator value for this period.,The achieved indicator value for this period.
period.sub_elements.actual.help_text,,
period.sub_elements.actual.attributes.value.hover_text,"Add the actual value achieved if your indicator is a numerical (quantitative) measure, such as a percentage. Leave this blank if the indicator is a qualitative measure.","Add the actual value achieved if your indicator is a numerical (quantitative) measure, such as a percentage. Leave this blank if the indicator is a qualitative measure."
period.sub_elements.actual.attributes.value.help_text,,
period.sub_elements.actual.sub_elements.comment.hover_text,"If the indicator is a qualitative measure, provide a description of the actual result. You may also add other descriptive information for quantitative results here.","If the indicator is a qualitative measure, provide a description of the actual result. You may also add other descriptive information for quantitative results here."
period.sub_elements.actual.sub_elements.comment.help_text,,
period.sub_elements.actual.sub_elements.comment.sub_elements.narrative.hover_text,,
period.sub_elements.actual.sub_elements.comment.sub_elements.narrative.help_text,,
period.sub_elements.actual.sub_elements.comment.sub_elements.narrative.attributes.language.hover_text,,
period.sub_elements.actual.sub_elements.comment.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
period.sub_elements.actual.sub_elements.dimension.hover_text,"A category used for disaggregating the result, for example by gender or age. Multiple disaggregations can be added.","A category used for disaggregating the result, for example by gender or age. Multiple disaggregations can be added."
period.sub_elements.actual.sub_elements.dimension.attributes.name.hover_text,"Enter a description of the category being disaggregated. For example, an activity could declare the dimension’s name as ‘sex’, with a value of ‘female’.","Enter a description of the category being disaggregated. For example, an activity could declare the dimension’s name as ‘sex’, with a value of ‘female’."
period.sub_elements.actual.sub_elements.dimension.attributes.name.help_text,,
period.sub_elements.actual.sub_elements.dimension.attributes.value.hover_text,Specify a disaggregated value for this category.,Specify a disaggregated value for this category.
period.sub_elements.actual.sub_elements.dimension.attributes.value.help_text,,
period.sub_elements.actual.sub_elements.document_link.hover_text,"A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document.","A link to an online, publicly accessible, web page or document. Create additional document elements for each separate document."
period.sub_elements.actual.sub_elements.document_link.help_text,,
period.sub_elements.actual.sub_elements.document_link.attributes.url.hover_text,A link to where the document is available online - e.g. 'http://www.example.org/doc.odt',A link to where the document is available online - e.g. 'http://www.example.org/doc.odt'
period.sub_elements.actual.sub_elements.document_link.attributes.url.help_text,,
period.sub_elements.actual.sub_elements.document_link.attributes.format.hover_text,"Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'.","Select the document file format from the drop-down list. For example, a PDF file could be 'application/pdf'."
period.sub_elements.actual.sub_elements.document_link.attributes.format.help_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.title.hover_text,A short title for the document.,A short title for the document.
period.sub_elements.actual.sub_elements.document_link.sub_elements.title.sub_elements.narrative.hover_text,Provide a short title for the document or webpage.,Provide a short title for the document or webpage.
period.sub_elements.actual.sub_elements.document_link.sub_elements.title.sub_elements.narrative.help_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.hover_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.title.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
period.sub_elements.actual.sub_elements.document_link.sub_elements.category.hover_text,A category that describes the type of document. You can select multiple categories.,A category that describes the type of document. You can select multiple categories.
period.sub_elements.actual.sub_elements.document_link.sub_elements.category.help_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.category.attributes.code.hover_text,Select a category from the drop-down menu that describes what your document is.,Select a category from the drop-down menu that describes what your document is.
period.sub_elements.actual.sub_elements.document_link.sub_elements.category.attributes.code.help_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.description.hover_text,"A description of the document contents, or guidance on where to access relevant information.","A description of the document contents, or guidance on where to access relevant information."
period.sub_elements.actual.sub_elements.document_link.sub_elements.description.sub_elements.narrative.hover_text,"Provide a short description of the document or webpage, including any instructions on where to find relevant information.","Provide a short description of the document or webpage, including any instructions on where to find relevant information."
period.sub_elements.actual.sub_elements.document_link.sub_elements.description.sub_elements.narrative.help_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.hover_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.description.sub_elements.narrative.attributes.language.help_text,"If no language is selected, your default language is assumed.","If no language is selected, your default language is assumed."
period.sub_elements.actual.sub_elements.document_link.sub_elements.language.hover_text,Select the language that the document is written in. This can be repeated to describe multilingual documents.,Select the language that the document is written in. This can be repeated to describe multilingual documents.
period.sub_elements.actual.sub_elements.document_link.sub_elements.language.attributes.language.hover_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.language.attributes.language.help_text,,
period.sub_elements.actual.sub_elements.document_link.sub_elements.document_date.hover_text,The publication date of the document or webpage.,The publication date of the document or webpage.
period.sub_elements.actual.sub_elements.document_link.sub_elements.document_date.attributes.date.hover_text,"Provide the date of publication for the document, or the date that it was last updated.","Provide the date of publication for the document, or the date that it was last updated."
period.sub_elements.actual.sub_elements.document_link.sub_elements.document_date.attributes.date.help_text,,
period.sub_elements.actual.sub_elements.location.attributes.reference.hover_text,A cross-reference to a location specified in 'iati-activity/location/@ref',A cross-reference to a location specified in 'iati-activity/location/@ref'
period.sub_elements.actual.sub_elements.location.attributes.reference.help_text,,
transactions.hover_text,Transactions record committed or actual funds flowing in or out of your activity. Each incoming or outgoing flow should be published as a transaction. See guidance on publishing financial transactions,Transactions record committed or actual funds flowing in or out of your activity. Each incoming or outgoing flow should be published as a transaction. <br><br><a target='_blank' href='https://iatistandard.org/en/guidance/standard-guidance/financial-transactions/'>See guidance on publishing financial transactions</a>
transactions.help_text,,
transactions.attributes.reference.hover_text,You can provide a reference that you use to identify this transaction in your organisation’s internal financial management system,You can provide a reference that you use to identify this transaction in your organisation’s internal financial management system
transactions.attributes.reference.help_text,,
